tau,Re_zeta,Re_zeta_st
141.4590662,5.025721433,9.004862445
141.8416587,4.284238156,7.724468135
142.2244769,2.787237210,6.057822814
142.6075206,1.120365038,4.650969957
142.9907892,-0.1168701667,3.969262037
143.3742823,-0.5803381131,4.130392080
143.7579996,-0.3109874176,4.908797232
144.1419406,0.3327757599,5.887392490
144.5261050,0.8929703655,6.666858780
144.9104923,1.056721726,7.028960617
145.2951021,0.7970117213,6.986792568
145.6799341,0.3427106132,6.717343219
146.0649878,0.008951127887,6.429210708
146.4502629,-0.004796638939,6.244726126
146.8357589,0.2708623962,6.158929721
147.2214755,0.6113795816,6.086468942
147.6074123,0.7561972556,5.951425522
147.9935688,0.5869859789,5.750867149
148.3799447,0.2134930779,5.548087443
148.7665397,-0.08886566871,5.407786605
149.1533533,-0.05427790353,5.329854888
149.5403851,0.3921522185,5.237219365
149.9276347,1.062117868,5.029751896
150.3151018,1.594265210,4.666519846
150.7027861,1.663317847,4.219249348
151.0906870,1.189226119,3.859395709
151.4788043,0.4192463315,3.780632703
151.8671375,-0.1771238327,4.093458419
152.2556863,-0.1542539433,4.746025477
152.6444504,0.6535966432,5.520902704
153.0334293,2.011078996,6.127202645
153.4226226,3.371502814,6.353990025
153.8120301,4.138976412,6.199062323
154.2016512,3.967288748,5.880445318
154.5914858,2.935784110,5.701760775
154.9815333,1.506661217,5.846329176
155.3717935,0.2862001747,6.240011125
155.7622660,-0.2810010235,6.586626898
156.1529503,-0.1202854077,6.559323031
156.5438463,0.4710518231,6.019174751
156.9349534,1.021194277,5.118246279
157.3262713,1.163719539,4.233633515
157.7177997,0.8402949832,3.790547360
158.1095382,0.3145653789,4.078708882
158.5014865,-0.003855898979,5.133465517
158.8936442,0.1825623481,6.699875958
159.2860110,0.8719124188,8.280308506
159.6785864,1.754745713,9.274502835
160.0713703,2.387352004,9.202452464
160.4643621,2.442595306,7.935724271
160.8575616,1.890902528,5.806788960
161.2509684,1.007588992,3.496450272
161.6445821,0.2067515884,1.726491526
162.0384025,-0.1957824363,0.9210980828
162.4324292,-0.1482885349,1.034099763
162.8266618,0.1383363421,1.635907659
163.2211000,0.3519808437,2.191023959
163.6157435,0.2952760246,2.352110869
164.0105919,0.01797944684,2.110492939
164.4056449,-0.2194428230,1.744256677
164.8009021,-0.1294936402,1.616963827
165.1963632,0.3882952116,1.945924854
165.5920279,1.144094159,2.664754899
165.9878959,1.742412359,3.458091275
166.3839667,1.815958201,3.959989564
166.7802402,1.272214894,4.010956593
167.1767158,0.3976375247,3.815610206
167.5733935,-0.2596933433,3.882687634
167.9702727,-0.1792466483,4.755369405
168.3673531,0.8272629723,6.676250367
168.7646346,2.471463781,9.382250635
169.1621166,4.097152990,12.15274216
169.5597989,4.994967702,14.08993590
169.9576812,4.757679356,14.48908840
170.3557632,3.484334742,13.12304735
170.7540445,1.723041735,10.32147753
171.1525248,0.1862041885,6.825469235
171.5512038,-0.6037186093,3.494184738
171.9500811,-0.5461393170,0.9974989296
172.3491566,0.04491003590,-0.3734186316
172.7484297,0.6655995452,-0.7100647874
173.1479003,0.9224093017,-0.3362422722
173.5475680,0.7317829558,0.3895700834
173.9474326,0.3139413286,1.208393077
174.3474936,0.004363196308,1.987746212
174.7477508,0.01477265172,2.678969746
175.1482039,0.2984647468,3.274335098
175.5488525,0.6010354150,3.800953367
175.9496964,0.6552598894,4.332943384
176.3507352,0.3855396699,4.978267960
176.7519687,-0.01829435377,5.819367675
177.1533966,-0.2126356609,6.831430811
177.5550185,0.07021040485,7.831543454
177.9568341,0.8227619022,8.507272552
178.3588431,1.728835704,8.537497909
178.7610453,2.329682109,7.765700350
179.1634403,2.296218745,6.338759105
179.5660279,1.640682568,4.714148937
179.9688077,0.7306820752,3.490510593
180.3717794,0.08615777062,3.119205921
180.7749428,0.07447846872,3.647542512
181.1782975,0.6870788766,4.654837258
181.5818432,1.537826926,5.445748263
181.9855798,2.091788858,5.414802428
182.3895068,1.991811590,4.388236284
182.7936240,1.286202179,2.752756246
183.1979310,0.4153592604,1.291402281
183.6024277,-0.04188717291,0.7995109172
184.0071137,0.2844657157,1.669571884
184.4119887,1.321481766,3.657846742
184.8170524,2.575143596,5.964175690
185.2223046,3.399993780,7.601091353
185.6277449,3.360622816,7.872444135
186.0333731,2.473813764,6.713241197
186.4391890,1.191073830,4.711314924
186.8451921,0.1356365112,2.805436634
187.2513822,-0.2475110203,1.829590987
187.6577591,0.07761115916,2.143435205
188.0643225,0.7559102162,3.521101825
188.4710720,1.284784613,5.319959425
188.8780075,1.326026048,6.812289576
189.2851286,0.8943605336,7.504077908
189.6924350,0.3149857425,7.298378988
190.0999265,-0.01002900169,6.454684781
190.5076028,0.1308788045,5.400404098
190.9154637,0.6295204565,4.515335528
191.3235088,1.143666028,4.001913578
191.7317379,1.332842596,3.880115318
192.1401507,1.083114581,4.058919316
192.5487469,0.5708182847,4.401143469
192.9575263,0.1255178794,4.738376251
193.3664886,-0.01096157379,4.865076126
193.7756336,0.1396700737,4.575114002
